entry_bar,outcome,r_multiple,risk_pips
193379,LOSS,-1.0,4.9
193429,LOSS,-1.0,6.3
193514,LOSS,-1.0,9.9
193609,LOSS,-1.0,6.4
193714,LOSS,-1.0,8.0
193799,OPEN,0.0,11.0
197762,WIN,1.129,9.3
199220,LOSS,-1.0,6.5
199285,LOSS,-1.0,11.0
199485,WIN,3.5,8.8
200532,LOSS,-1.0,7.4
200562,LOSS,-1.0,3.6
200607,WIN,1.219,12.8
202037,WIN,2.019,10.3
204782,LOSS,-1.0,2.5
204837,LOSS,-1.0,9.5
204872,WIN,0.459,11.1
207779,WIN,4.146,8.2
209107,LOSS,-1.0,4.6
209202,WIN,1.292,10.6
211948,WIN,0.953,8.5
217601,WIN,0.026,7.8
219153,LOSS,-1.0,3.6
219263,LOSS,-1.0,6.8
219333,LOSS,-1.0,3.7
219553,OPEN,0.0,9.4
223281,LOSS,-1.0,4.6
223321,LOSS,-1.0,4.4
223506,LOSS,-1.0,4.4
223566,WIN,1.446,6.5
224734,WIN,1.321,5.3
226146,WIN,0.848,6.6
227485,LOSS,-1.0,6.5
227520,LOSS,-1.0,3.9
227600,LOSS,-1.0,8.6
227725,LOSS,-1.0,3.7
227840,OPEN,0.0,4.3
228904,LOSS,-1.0,4.3
228919,LOSS,-1.0,7.2
229174,LOSS,-1.0,3.3
233313,LOSS,-1.0,4.4
233403,LOSS,-1.0,7.9
233513,LOSS,-1.0,2.9
233518,LOSS,-1.0,3.8
233563,WIN,0.726,11.7
236070,LOSS,-1.0,6.5
236155,WIN,1.32,7.5
237473,WIN,4.048,4.2
238801,LOSS,-1.0,3.0
238826,WIN,2.14,4.3
241667,LOSS,-1.0,2.4
241697,LOSS,-1.0,3.5
241747,LOSS,-1.0,7.7
241792,LOSS,-1.0,8.6
241952,LOSS,-1.0,5.7
242057,OPEN,0.0,11.5
244487,WIN,0.06,15.1
247400,LOSS,-1.0,11.5
247450,LOSS,-1.0,5.6
247505,WIN,2.051,5.9
248809,LOSS,-1.0,6.1
248914,OPEN,0.0,10.0
250097,LOSS,-1.0,0.8
250152,LOSS,-1.0,2.5
250262,LOSS,-1.0,9.2
250372,LOSS,-1.0,5.6
250487,LOSS,-1.0,6.3
250542,LOSS,-1.0,12.2
250672,OPEN,0.0,5.9
251547,LOSS,-1.0,4.5
251777,LOSS,-1.0,6.5
252002,LOSS,-1.0,9.4
252042,OPEN,0.0,3.7
252948,LOSS,-1.0,5.5
253018,WIN,0.208,5.3
255874,LOSS,-1.0,8.9
256124,LOSS,-1.0,4.2
256154,WIN,4.939,6.6
258647,WIN,0.169,8.3
260037,LOSS,-1.0,3.9
260197,LOSS,-1.0,2.8
260317,LOSS,-1.0,5.7
260532,OPEN,0.0,13.4
262961,LOSS,-1.0,7.7
263096,WIN,1.731,10.8
264441,WIN,1.389,5.4
268573,LOSS,-1.0,5.8
268653,LOSS,-1.0,6.9
268763,LOSS,-1.0,4.1
268803,LOSS,-1.0,2.1
268873,LOSS,-1.0,9.1
268983,LOSS,-1.0,3.6
269018,LOSS,-1.0,5.3
269108,LOSS,-1.0,5.8
269148,OPEN,0.0,3.0
270191,OPEN,0.0,11.3
272887,LOSS,-1.0,4.8
272982,LOSS,-1.0,11.4
273082,LOSS,-1.0,7.6
273192,LOSS,-1.0,9.6
273402,LOSS,-1.0,6.4
274311,LOSS,-1.0,8.3
274356,WIN,0.323,6.5
278645,LOSS,-1.0,11.0
278760,LOSS,-1.0,5.7
278890,LOSS,-1.0,12.8
279010,LOSS,-1.0,5.3
279075,OPEN,0.0,6.6
280026,LOSS,-1.0,6.1
280136,LOSS,-1.0,7.9
280256,OPEN,0.0,7.0
281419,WIN,1.053,5.7
282865,WIN,1.259,8.1
291427,WIN,5.943,3.5
294356,WIN,1.791,11.0
295790,LOSS,-1.0,6.9
295930,LOSS,-1.0,3.1
296015,OPEN,0.0,7.7
299978,LOSS,-1.0,8.3
300233,WIN,0.0,3.2
301338,WIN,0.0,4.4
304223,LOSS,-1.0,7.1
304388,LOSS,-1.0,8.7
304603,LOSS,-1.0,15.2
310037,LOSS,-1.0,6.4
310102,LOSS,-1.0,4.2
310162,LOSS,-1.0,4.3
310467,OPEN,0.0,8.8
315657,LOSS,-1.0,12.2
315917,LOSS,-1.0,8.0
315947,LOSS,-1.0,3.5
316157,OPEN,0.0,24.5
317121,LOSS,-1.0,8.2
317191,LOSS,-1.0,7.6
317291,OPEN,0.0,7.1
320048,LOSS,-1.0,16.6
320373,LOSS,-1.0,6.2
320383,LOSS,-1.0,9.0
321365,LOSS,-1.0,4.8
321415,LOSS,-1.0,6.1
321565,LOSS,-1.0,11.3
321815,LOSS,-1.0,11.9
324324,LOSS,-1.0,9.1
324384,WIN,0.776,6.7
325853,LOSS,-1.0,9.4
325953,LOSS,-1.0,12.1
326048,OPEN,0.0,40.9
327090,LOSS,-1.0,6.5
327140,WIN,2.023,8.7
334259,LOSS,-1.0,5.3
334339,WIN,2.048,8.3
338617,WIN,4.455,5.5
340014,WIN,4.154,3.9
341462,LOSS,-1.0,8.7
341502,WIN,0.867,9.0
345734,LOSS,-1.0,2.9
345784,LOSS,-1.0,2.6
345889,LOSS,-1.0,4.4
345969,LOSS,-1.0,7.3
346069,LOSS,-1.0,6.0
346104,LOSS,-1.0,5.0
346179,LOSS,-1.0,6.2
346279,LOSS,-1.0,4.6
346309,OPEN,0.0,4.4
347207,LOSS,-1.0,5.0
347412,WIN,3.789,7.6
348602,LOSS,-1.0,4.2
348757,OPEN,0.0,9.3
350090,WIN,0.5,8.0
354385,WIN,1.625,7.2
358636,LOSS,-1.0,3.8
358726,WIN,4.682,4.4
360152,LOSS,-1.0,2.4
360392,LOSS,-1.0,7.0
